path,.,custom_id,annotation,imageUrl
interface,"{""type"":""image_classification"",""labels"":[""cat"",""dog""]}",,,
samples.0,,202548,cat,https://farm3.staticflickr.com/2172/2223211937_88b1af0337_z.jpg
samples.1,,175202,cat,https://farm5.staticflickr.com/4084/5171697142_b1ac39b153_z.jpg
samples.2,,164910,dog,https://farm5.staticflickr.com/4129/4981342076_01e05dd322_z.jpg
samples.3,,40348,cat,https://farm6.staticflickr.com/5175/5397720612_14ee5bbe68_z.jpg
samples.4,,3729,cat,https://farm4.staticflickr.com/3243/2533135320_7abd40a1e6_z.jpg
samples.5,,428310,dog,https://farm3.staticflickr.com/2126/2462953678_417d43398e_z.jpg
samples.6,,545720,dog,https://farm9.staticflickr.com/8104/8529013737_fca10ca0c6_z.jpg
samples.7,,78079,cat,https://farm4.staticflickr.com/3154/3062441904_d649a879f5_z.jpg
samples.8,,553417,cat,https://farm4.staticflickr.com/3503/3898641254_1c02524823_z.jpg
samples.9,,47105,dog,https://farm5.staticflickr.com/4149/4992412402_d2d260418d_z.jpg
samples.10,,353504,dog,https://farm7.staticflickr.com/6172/6199640728_c178dae5ab_z.jpg
samples.11,,356610,dog,https://farm4.staticflickr.com/3644/3943129807_c7f5f06e3b_z.jpg
samples.12,,440666,dog,https://farm5.staticflickr.com/4035/4278243583_28184435cd_z.jpg
samples.13,,447424,dog,https://farm4.staticflickr.com/3273/3001875948_cdf56bc488_z.jpg
samples.14,,147883,cat,https://farm3.staticflickr.com/2134/2364486943_6b9bc312cb_z.jpg
samples.15,,548734,dog,https://farm4.staticflickr.com/3048/3047269150_f13f27efaa_z.jpg
samples.16,,21514,dog,https://farm4.staticflickr.com/3216/2313795641_c20d177e18_z.jpg
samples.17,,138007,cat,https://farm3.staticflickr.com/2022/1579602668_be2d275690_z.jpg
samples.18,,407651,dog,https://farm4.staticflickr.com/3002/3000973111_4fb5770c8e_z.jpg
samples.19,,320045,cat,https://farm7.staticflickr.com/6061/6139254473_f9e2233aeb_z.jpg
samples.20,,279089,cat,https://farm9.staticflickr.com/8371/8355828689_9f5be0a358_z.jpg
samples.21,,435583,cat,https://farm9.staticflickr.com/8144/7615915950_4c345b867e_z.jpg
samples.22,,94069,dog,https://farm6.staticflickr.com/5306/5653252809_35748d4401_z.jpg
samples.23,,507212,cat,https://farm3.staticflickr.com/2447/3940390879_414c7b4464_z.jpg
samples.24,,322536,cat,https://farm1.staticflickr.com/23/26394376_1e34fd7c13_z.jpg
samples.25,,106545,dog,https://farm3.staticflickr.com/2868/9053123228_6a34f54412_z.jpg
samples.26,,524420,dog,https://farm9.staticflickr.com/8031/7889908522_ddda4bc57b_z.jpg
samples.27,,576047,cat,https://farm1.staticflickr.com/140/350398023_c2b3d9b4b6_z.jpg
samples.28,,194605,dog,https://farm3.staticflickr.com/2693/4397549108_1b6902f087_z.jpg
samples.29,,397894,cat,https://farm4.staticflickr.com/3146/2979842548_d4778f8bd4_z.jpg
samples.30,,227245,cat,https://farm7.staticflickr.com/6157/6262135055_59b371e767_z.jpg
samples.31,,494297,dog,https://farm1.staticflickr.com/48/134166402_08c7445656_z.jpg
samples.32,,431164,dog,https://farm4.staticflickr.com/3260/3142794691_9d17be1748_z.jpg
samples.33,,187576,dog,https://farm7.staticflickr.com/6067/6025307401_42b5257bd9_z.jpg
samples.34,,359363,dog,https://farm4.staticflickr.com/3131/3221972948_a42912b762_z.jpg
samples.35,,246879,dog,https://farm6.staticflickr.com/5146/5745375858_fb5499c281_z.jpg
samples.36,,268051,dog,https://farm4.staticflickr.com/3286/2349101316_6cfd4cc41c_z.jpg
samples.37,,152724,cat,https://farm1.staticflickr.com/27/58754785_b24993c8bd_z.jpg
samples.38,,340598,dog,https://farm5.staticflickr.com/4140/4754309211_5794d4ee17_z.jpg
samples.39,,546691,cat,https://farm8.staticflickr.com/7351/9603429848_0e182e4b46_z.jpg
samples.40,,192450,dog,https://farm1.staticflickr.com/186/426584411_059d3233d6_z.jpg
samples.41,,490336,dog,https://farm4.staticflickr.com/3417/4633731261_7e88b21a9f_z.jpg
samples.42,,15198,dog,https://farm3.staticflickr.com/2450/3723864616_ab7bd12f82_z.jpg
samples.43,,41132,cat,https://farm3.staticflickr.com/2561/4104606615_d93b7d2762_z.jpg
samples.44,,202099,dog,https://farm1.staticflickr.com/54/130903742_73b22d16c4_z.jpg
samples.45,,359283,cat,https://farm4.staticflickr.com/3068/5745649198_2832ffa12d_z.jpg
samples.46,,326073,cat,https://farm3.staticflickr.com/2524/4090828789_1e8191bc4b_z.jpg
samples.47,,481465,cat,https://farm8.staticflickr.com/7342/9583833691_8a0a6affb8_z.jpg
samples.48,,522330,dog,https://farm8.staticflickr.com/7047/6798419748_3d0226ecc4_z.jpg
samples.49,,334557,dog,https://farm8.staticflickr.com/7168/6496491849_f4b453fc8d_z.jpg
samples.50,,409092,cat,https://farm3.staticflickr.com/2279/2022720640_a6e7cbc1f5_z.jpg
samples.51,,5244,cat,https://farm3.staticflickr.com/2375/2322135808_9fa9f9ee4d_z.jpg
samples.52,,157931,dog,https://farm9.staticflickr.com/8466/8107362586_09647509e3_z.jpg
samples.53,,84901,cat,https://farm3.staticflickr.com/2277/2434637757_c6c58e82b7_z.jpg
samples.54,,287210,dog,https://farm4.staticflickr.com/3635/3345960109_fb03181978_z.jpg
